match_url,format,match_date,maps,total_maps
https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf,final,"Thursday, September 2512:50 PM EDTPatch 11.05","[{""map_name"": ""Haven""}, {""map_name"": ""Ascent""}, {""map_name"": ""Lotus44:32""}]",3
https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf,final,"Thursday, September 259:00 AM EDTPatch 11.05","[{""map_name"": ""Lotus""}, {""map_name"": ""Corrode""}, {""map_name"": ""Ascent57:03""}]",3
https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b,final,"Monday, September 2211:15 AM EDTPatch 11.05","[{""map_name"": ""Corrode""}, {""map_name"": ""Abyss""}]",2
https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d,final,"Monday, September 229:00 AM EDTPatch 11.05","[{""map_name"": ""Lotus""}, {""map_name"": ""Corrode""}]",2
https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a,final,"Sunday, September 2111:20 AM EDTPatch 11.05","[{""map_name"": ""Bind""}, {""map_name"": ""Ascent""}]",2
https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c,final,"Sunday, September 219:00 AM EDTPatch 11.05","[{""map_name"": ""Corrode""}, {""map_name"": ""Abyss""}]",2
https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d,final,"Saturday, September 2012:00 PM EDTPatch 11.05","[{""map_name"": ""Lotus""}, {""map_name"": ""Abyss""}]",2
https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b,final,"Saturday, September 209:00 AM EDTPatch 11.05","[{""map_name"": ""Sunset""}, {""map_name"": ""Lotus""}, {""map_name"": ""Abyss40:38""}]",3
https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a,final,"Friday, September 1912:30 PM EDTPatch 11.05","[{""map_name"": ""Abyss""}, {""map_name"": ""Lotus""}, {""map_name"": ""Haven46:27""}]",3
https://www.vlr.gg/542209/team-liquid-vs-edward-gaming-valorant-champions-2025-elim-c,final,"Friday, September 199:00 AM EDTPatch 11.05","[{""map_name"": ""Sunset""}, {""map_name"": ""Abyss""}, {""map_name"": ""Bind1:05:45""}]",3
https://www.vlr.gg/535402/twisted-minds-vs-ulf-esports-challengers-2025-emea-stage-3-ubsf,final,"Saturday, September 62:00 PM EDTPatch 11.04","[{""map_name"": ""Lotus""}, {""map_name"": ""Haven""}, {""map_name"": ""Ascent51:37""}]",3
https://www.vlr.gg/535401/mandatory-vs-dnsty-challengers-2025-emea-stage-3-ubsf,final,"Saturday, September 611:00 AM EDTPatch 11.04","[{""map_name"": ""Lotus""}, {""map_name"": ""Sunset""}, {""map_name"": ""Haven35:14""}]",3
https://www.vlr.gg/521249/naos-vs-full-sense-challengers-2025-southeast-asia-split-3-lbf,final,"Saturday, September 67:00 AM EDTPatch 11.04","[{""map_name"": ""Haven""}, {""map_name"": ""Bind""}, {""map_name"": ""Sunset""}, {""map_name"": ""Ascent""}]",4
https://www.vlr.gg/538576/funplus-phoenix-vs-wolves-esports-china-evolution-series-act-3-cf,final,"Saturday, September 65:00 AM EDT","[{""map_name"": ""Ascent""}, {""map_name"": ""Haven""}, {""map_name"": ""Sunset""}]",3
https://www.vlr.gg/528187/fearx-vs-slt-seongnam-challengers-2025-korea-wdg-road-to-ascension-gf,final,"Saturday, September 64:00 AM EDTPatch 11.04","[{""map_name"": ""Icebox""}, {""map_name"": ""Haven""}, {""map_name"": ""Ascent""}, {""map_name"": ""Bind""}]",4
https://www.vlr.gg/531688/team-solid-vs-red-canids-challengers-2025-brazil-gamers-club-last-chance-qualifier-ubf,final,"Friday, September 57:00 PM EDTPatch 11.04","[{""map_name"": ""Sunset""}, {""map_name"": ""Lotus""}, {""map_name"": ""Abyss42:38""}]",3
https://www.vlr.gg/543171/sad-esports-vs-prosperity-esports-challengers-2025-north-america-ace-stage-3-r2,final,"Friday, September 57:00 PM EDTPatch 11.04","[{""map_name"": ""Lotus57:11""}, {""map_name"": ""Sunset34:55""}, {""map_name"": ""Abyss37:12""}]",3
https://www.vlr.gg/532274/shinden-vs-six-karma-challengers-2025-latin-america-finals-opening,final,"Friday, September 56:25 PM EDTPatch 11.04","[{""map_name"": ""Corrode""}, {""map_name"": ""Abyss""}]",2
https://www.vlr.gg/531689/los-grandes-vs-corinthians-esports-challengers-2025-brazil-gamers-club-last-chance-qualifier-lr1,final,"Friday, September 54:00 PM EDTPatch 11.04","[{""map_name"": ""Bind""}, {""map_name"": ""Lotus""}]",2
https://www.vlr.gg/543170/shopify-rebellion-gold-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-r2,final,"Friday, September 54:00 PM EDTPatch 11.04","[{""map_name"": ""Sunset37:46""}, {""map_name"": ""Lotus46:05""}, {""map_name"": ""Ascent49:49""}]",3
