player_name,agent,acs,kills,deaths,assists,kd_diff,adr
artzinMIBR,,1.781.402.53,345276484,211011,/972/,963,+12+3+9
aspasMIBR,,1.511.770.99,262326135,19163,/862/,220,+11+10+1
corteziaMIBR,,1.341.560.89,20326481,13121,/853/,1037,+5+7-2
VernoMIBR,,0.981.060.83,147160123,972,/963/,651,0+1-1
xenomMIBR,,0.850.741.06,135124158,844,/862/,871,0-2+2
MonyetRRQ,,0.940.811.01,197152220,1239,/14410/,725,-2-1-1
KushyRRQ,,0.820.780.84,158142166,1037,/1349/,303,-3-1-2
crazyguyRRQ,,0.590.740.52,114100122,624,/15411/,523,-9-2-7
JemkinRRQ,,0.530.520.53,106116102,624,/1459/,202,-8-3-5
xfferoRRQ,,0.520.760.40,119110124,826,/14410/,101,-6-2-4
aspasMIBR,,1.591.351.47,255301210,362115,/1486/,431,+22+13+9
artzinMIBR,,1.251.301.28,256242271,301317,/221111/,21912,+8+2+6
corteziaMIBR,,1.540.951.24,211277146,27198,/19910/,15510,+8+10-2
xenomMIBR,,1.061.231.15,164142187,23914,/1679/,1385,+7+2+5
VernoMIBR,,1.051.131.09,178139217,22913,/19811/,1165,+3+1+2
JemkinRRQ,,1.150.530.84,179248110,21156,/271314/,413,-6+2-8
MonyetRRQ,,0.690.980.83,160121200,20713,/281414/,1486,-8-7-1
xfferoRRQ,,1.210.390.80,174218129,23149,/281315/,312,-5+1-6
crazyguyRRQ,,0.790.450.62,131153110,1275,/291316/,1394,-17-6-11
KushyRRQ,,0.400.750.57,11878159,14410,/291415/,853,-15-10-5
xenomMIBR,,1.441.701.31,193177202,15510,/817/,514,+7+4+3
aspasMIBR,,1.431.241.53,247250247,17512,/624/,211,+11+3+8
VernoMIBR,,1.191.031.27,20897264,13211,/1028/,514,+30+3
corteziaMIBR,,1.151.500.97,219302178,1477,/1147/,523,+3+30
artzinMIBR,,0.780.950.69,167175164,936,/1349/,1239,-4-1-3
JemkinRRQ,,1.151.460.52,252315128,15132,/1385/,211,+2+5-3
xfferoRRQ,,1.081.430.38,228273139,15123,/1495/,211,+1+3-2
MonyetRRQ,,0.720.620.92,123106158,844,/14104/,761,-6-60
crazyguyRRQ,,0.650.810.32,14817986,651,/1495/,871,-8-4-4
KushyRRQ,,0.330.200.58,7846144,413,/16106/,550,-12-9-3
